amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
702-8957047-3765812	702-8957047-3765812	2024-12-10T04:19:26+00:00	2024-12-11T05:17:24+00:00	Shipped	Amazon	Amazon.com.mx			Standard	LUXRUG - Alfombra lavable de 8 x 10 pulgadas, color gris carbón, para sala de estar, suave, abstracta, para recámara, alfombra geométrica, ultrafin	G24136-13-Grey-8x10-US-V1	B0DBYW12W5	Shipped	1	MXN	3084.7								MORELIA	MICHOACAN DE OCAMPO	58200	MX		false			false
701-1033635-7138624	701-1033635-7138624	2024-12-01T18:00:37+00:00	2024-12-02T03:41:02+00:00	Shipped	Amazon	Amazon.com.mx			Standard	LUXRUG - Alfombra de área de 6 x 9 pulgadas para sala de estar, alfombra grande abstracta lavable para recámara, antideslizante, color beige, resist	G24136-7-Beige-6x9-US-V1	B0DBYW49QF	Shipped	1	MXN	2313.48								TLAJOMULCO DE ZUNIGA	JALISCO	45645	MX		false			false
701-5043053-0009817	701-5043053-0009817	2024-12-01T17:52:56+00:00	2024-12-01T17:55:01+00:00	Cancelled	Amazon	Amazon.com.mx			Standard	LUXRUG - Alfombra de área de 6 x 9 pulgadas para sala de estar, alfombra grande abstracta lavable para recámara, antideslizante, color beige, resist	G24136-7-Beige-6x9-US-V1	B0DBYW49QF	Cancelled	0										TLAJOMULCO DE ZUNIGA	JALISCO	45645	MX		false			false
701-5027893-1363452	701-5027893-1363452	2024-12-31T22:44:12+00:00	2025-01-04T07:32:55+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Victoria	British Columbia	V8N 4V8	CA		false			false
702-2035128-8836206	702-2035128-8836206	2024-12-28T03:50:21+00:00	2024-12-29T04:31:25+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Toronto	Ontario	M6P 2Y8	CA		false			false
702-4928563-9221842	702-4928563-9221842	2024-12-27T14:04:49+00:00	2024-12-28T08:44:53+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	Shipped	1	CAD	53.66								Kanata	Ontario	K2M 2Y7	CA		false			false
702-5535655-8253867	702-5535655-8253867	2024-12-22T01:11:55+00:00	2024-12-22T18:29:14+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Moncton	New Brunswick	E1C 9V6	CA		false			false
701-2432051-0608217	701-2432051-0608217	2024-12-20T01:56:47+00:00	2024-12-24T10:18:46+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom	G24267-2-Beige-3x5-US-V1	B0DBVM2KQN	Shipped	1	CAD	49.54								High River	Alberta	T1V 1E7	CA		false			false
702-2233717-3259412	702-2233717-3259412	2024-12-19T02:01:45+00:00	2024-12-19T18:10:25+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								KITCHENER	ON	N2E4H1	CA		false			false
701-9219506-8713838	701-9219506-8713838	2024-12-16T22:09:39+00:00	2024-12-27T18:33:43+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Fort St. John	British Columbia	V1J 3P8	CA		false			false
701-3179535-3101010	701-3179535-3101010	2024-12-16T01:48:52+00:00	2024-12-16T21:09:56+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	N1338-1-Orange-3x5-US-V1	B0DBZ7YNH5	Shipped	1	CAD	53.66								Montreal	Quebec	H1Y 2B1	CA		false			false
701-9860082-1962666	701-9860082-1962666	2024-12-12T00:57:28+00:00	2024-12-29T12:38:27+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Colorful Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-1A-Cream-3x5-US-V1	B0DBYY5XMP	Shipped	1	CAD	53.66								Woodstock	New Brunswick	E7M 1K4	CA		false			false
702-8288201-2526615	702-8288201-2526615	2024-12-10T21:26:49+00:00	2024-12-12T05:45:21+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	Shipped	2	CAD	107.32		13.92						Longueuil	Québec	J4N 0A2	CA		false			false
